Overseer | Надзиратель
Overseer (Gamma) | Надзиратель (Гамма)
Overseer (Beta) | Надзиратель (Бета)
Overseer (Alpha) | Надзиратель (Альфа)
Forest Titan | Лесной Титан
Ice Titan | Ледяной Титан
Desert Titan | Пустынный Титан
Broodmother Lysrix | Праматерь
Broodmother Lysrix (Gamma) | Праматерь (Гамма)
Broodmother Lysrix (Beta) | Праматерь (Бета)
Broodmother Lysrix (Alpha) | Праматерь (Альфа)
Broodmother Lysrix (Gamma) - The Center Arena | Праматерь (Гамма) - Арена Центр
Broodmother Lysrix (Beta) - The Center Arena | Праматерь (Бета) - Арена Центр
Broodmother Lysrix (Alpha) - The Center Arena | Праматерь (Альфа) - Арена Центр
Broodmother Guardian |  Страж Праматерь
Broodmother Lysrix (Gamma) - Overseer Arena | Праматерь (Гамма) - Арена Вознесения
Broodmother Lysrix (Beta) - Overseer Arena | Праматерь (Бета) - Арена Вознесения
Broodmother Lysrix (Alpha) - Overseer Arena | Праматерь (Альфа) - Арена Вознесения
Dragon | Дракон
Dragon (Gamma) | Дракон (Гамма)
Dragon (Beta) | Дракон (Бета)
Dragon (Alpha) | Дракон (Альфа)
Dragon (Gamma) - Ragnarok Arena | Дракон (Гамма) - Арена Рагнарёк
Dragon (Beta) - Ragnarok Arena | Дракон (Бета) - Арена Рагнарёк
Dragon (Alpha) - Ragnarok Arena | Дракон (Альфа) - Арена Рагнарёк
Dragon Guardian | Страж Дракон
Dragon (Gamma) - Overseer Arena | Дракон (Гамма) - Арена Вознесения
Dragon (Beta) - Overseer Arena | Дракон (Бета) - Арена Вознесения
Dragon (Alpha) - Overseer Arena | Дракон (Альфа) - Арена Вознесения
Megapithecus | Мегапитек
Megapithecus (Gamma) | Мегапитек (Гамма)
Megapithecus (Beta) | Мегапитек (Бета)
Megapithecus (Alpha) | Мегапитек (Альфа)
Megapithecus (Gamma) - The Center Arena | Мегапитек (Гамма) - Арена Центр
Megapithecus (Beta) - The Center Arena | Мегапитек (Бета) - Арена Центр
Megapithecus (Alpha) - The Center Arena | Мегапитек (Альфа) - Арена Центр
Megapithecus Guardian | Мегапитек Страж
Megapithecus (Gamma) - Overseer Arena | Мегапитек (Гамма) - Арена Вознесения
Megapithecus (Beta) - Overseer Arena | Мегапитек (Бета) - Арена Вознесения
Megapithecus (Alpha) - Overseer Arena | Мегапитек (Альфа) - Арена Вознесения
Manticore | Мантикора
Manticore (Gamma) | Мантикора (Гамма)
Manticore (Beta) | Мантикора (Бета)
Manticore (Alpha) | Мантикора (Альфа)
Manticore (Gamma) - Ragnarok Arena | Мантикора (Гамма) - Арена Рагнарёк
Manticore (Beta) - Ragnarok Arena | Мантикора (Бета) - Арена Рагнарёк
Manticore (Alpha) - Ragnarok Arena | Мантикора (Альфа) - Арена Рагнарёк
Rockwell | Роквелл
Rockwell (Gamma) | Роквелл (Гамма)
Rockwell (Beta) | Роквелл (Бета)
Rockwell (Alpha) | Роквелл (Альфа)
RockwellTentacle | Щупальце Роквелла
RockwellTentacle (Gamma) | Щупальце Роквелла (Гамма)
RockwellTentacle (Beta) | Щупальце Роквелла (Бета)
RockwellTentacle (Alpha) | Щупальце Роквелла (Альфа)
Allosaurus | Аллозавр
Carnotaurus | Карнотавр
Compsognathus | Компсогнат
Compy | Компсогнат
Dilophosaur | Дилофозавр
Giganotosaurus | Гигантозавр
Giganotosaurus - Tek Cave | Гигантозавр - Тек Пещера
Megalosaurus | Мегалозавр
Megalosaurus - Tek Cave | Мегалозавр - Тек Пещера
Microraptor | Микрораптор
Oviraptor | Овираптор
Raptor | Раптор
Rex | Тираннозавр
Spino | Спинозавр
Spinosaur | Спинозавр
Troodon | Троодон
Velonasaur | Велоназавр
Yutyrannus | Ютираннус
Ankylosaurus | Анкилозавр
Brontosaurus | Бронтозавр
Diplodocus | Диплодок
Gallimimus | Галлимим
Iguanodon | Игуанодон
Kentrosaurus | Кентрозавр
Morellatops | Морелатопс
Pachycephalosaurus | Пахицефалозавр
Pachy | Пахицефалозавр
Pachyrhinosaurus | Пахиринозавр
Parasaur | Паразауролоф
Pegomastax | Пегомастакс
